INFO 09-01-2021-16:22:03 Número de veículos extraídos: 2352.
INFO 09-01-2021-16:22:04 Número de veículos extraídos: 2376.
INFO 09-01-2021-16:22:05 Número de veículos extraídos: 2400.
INFO 09-01-2021-16:22:05 Número de veículos extraídos: 2424.
INFO 09-01-2021-16:22:06 Número de veículos extraídos: 2448.
INFO 09-01-2021-16:22:07 Número de veículos extraídos: 2472.
INFO 09-01-2021-16:22:07 Número de veículos extraídos: 2496.
INFO 09-01-2021-16:22:08 Número de veículos extraídos: 2520.
INFO 09-01-2021-16:22:09 Número de veículos extraídos: 2544.
INFO 09-01-2021-16:22:09 Número de veículos extraídos: 2568.
INFO 09-01-2021-16:22:10 Número de veículos extraídos: 2592.
INFO 09-01-2021-16:22:11 Número de veículos extraídos: 2616.
INFO 09-01-2021-16:22:11 Número de veículos extraídos: 2640.
INFO 09-01-2021-16:22:12 Número de veículos extraídos: 2664.
INFO 09-01-2021-16:22:12 Número de veículos extraídos: 2688.
INFO 09-01-2021-16:22:13 Número de veículos extraídos: 2712.
INFO 09-01-2021-16:22:14 Número de veículos extraídos: 2736.
INFO 09-01-2021-16:22:14 Número de veículos extraídos: 2760.
INFO 09-01-2021-16:22:15 Número de veículos extraídos: 2784.
INFO 09-01-2021-16:22:16 Número de veículos extraídos: 2808.
INFO 09-01-2021-16:22:16 Número de veículos extraídos: 2832.
INFO 09-01-2021-16:22:17 Número de veículos extraídos: 2856.
INFO 09-01-2021-16:22:17 Número de veículos extraídos: 2880.
INFO 09-01-2021-16:22:18 Número de veículos extraídos: 2904.
INFO 09-01-2021-16:22:19 Número de veículos extraídos: 2928.
INFO 09-01-2021-16:22:19 Número de veículos extraídos: 2952.
INFO 09-01-2021-16:22:20 Número de veículos extraídos: 2976.
INFO 09-01-2021-16:22:21 Número de veículos extraídos: 3000.
INFO 09-01-2021-16:22:21 Número de veículos extraídos: 3024.
INFO 09-01-2021-16:22:22 Número de veículos extraídos: 3048.
INFO 09-01-2021-16:22:23 Número de veículos extraídos: 3072.
INFO 09-01-2021-16:22:23 Número de veículos extraídos: 3096.
INFO 09-01-2021-16:22:24 Número de veículos extraídos: 3120.
INFO 09-01-2021-16:22:25 Número de veículos extraídos: 3144.
INFO 09-01-2021-16:22:25 Número de veículos extraídos: 3168.
INFO 09-01-2021-16:22:26 Número de veículos extraídos: 3192.
INFO 09-01-2021-16:22:27 Número de veículos extraídos: 3216.
INFO 09-01-2021-16:22:27 Número de veículos extraídos: 3240.
INFO 09-01-2021-16:22:28 Número de veículos extraídos: 3264.
INFO 09-01-2021-16:22:29 Número de veículos extraídos: 3288.
INFO 09-01-2021-16:22:29 Número de veículos extraídos: 3312.
INFO 09-01-2021-16:22:30 Número de veículos extraídos: 3336.
INFO 09-01-2021-16:22:31 Número de veículos extraídos: 3360.
INFO 09-01-2021-16:22:31 Número de veículos extraídos: 3384.
INFO 09-01-2021-16:22:32 Número de veículos extraídos: 3408.
INFO 09-01-2021-16:22:33 Número de veículos extraídos: 3432.
INFO 09-01-2021-16:22:33 Número de veículos extraídos: 3456.
INFO 09-01-2021-16:22:34 Número de veículos extraídos: 3480.
INFO 09-01-2021-16:22:35 Número de veículos extraídos: 3504.
INFO 09-01-2021-16:22:35 Número de veículos extraídos: 3528.
INFO 09-01-2021-16:22:36 Número de veículos extraídos: 3552.
INFO 09-01-2021-16:22:36 Número de veículos extraídos: 3576.
INFO 09-01-2021-16:22:37 Número de veículos extraídos: 3600.
INFO 09-01-2021-16:22:38 Número de veículos extraídos: 3624.
INFO 09-01-2021-16:22:39 Número de veículos extraídos: 3648.
INFO 09-01-2021-16:22:39 Número de veículos extraídos: 3672.
INFO 09-01-2021-16:22:40 Número de veículos extraídos: 3696.
INFO 09-01-2021-16:22:41 Número de veículos extraídos: 3720.
INFO 09-01-2021-16:22:41 Número de veículos extraídos: 3744.
INFO 09-01-2021-16:22:42 Número de veículos extraídos: 3768.
INFO 09-01-2021-16:22:42 Número de veículos extraídos: 3792.
INFO 09-01-2021-16:22:43 Número de veículos extraídos: 3816.
INFO 09-01-2021-16:22:44 Número de veículos extraídos: 3840.
INFO 09-01-2021-16:22:44 Número de veículos extraídos: 3864.
INFO 09-01-2021-16:22:45 Número de veículos extraídos: 3888.
INFO 09-01-2021-16:22:46 Número de veículos extraídos: 3912.
INFO 09-01-2021-16:22:46 Número de veículos extraídos: 3936.
INFO 09-01-2021-16:22:47 Número de veículos extraídos: 3960.
INFO 09-01-2021-16:22:48 Número de veículos extraídos: 3984.
INFO 09-01-2021-16:22:48 Número de veículos extraídos: 4008.
INFO 09-01-2021-16:22:49 Número de veículos extraídos: 4032.
INFO 09-01-2021-16:22:50 Número de veículos extraídos: 4056.
INFO 09-01-2021-16:22:51 Número de veículos extraídos: 4080.
INFO 09-01-2021-16:22:51 Número de veículos extraídos: 4104.
INFO 09-01-2021-16:22:52 Número de veículos extraídos: 4128.
INFO 09-01-2021-16:22:53 Número de veículos extraídos: 4152.
